Price,Location,Property Type,Status,Agency,Agent Name,Listing Date,Offer Date
R 1 595 000,Rondebosch,1 Bedroom Apartment,Normal,PE Rondebosch,Francis Barnes,2025-08-13,
R 2 095 000,Sea Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-06-06,
R 2 145 000,Cape Town City Centre,Apartment,Normal,PE City Bowl,Oscar Newman,2025-07-11,
R 20 500 000,Tamboerskloof,3 Bedroom House,Normal,PE City Bowl,Cole Rogers,2025-09-18,
R 1 350 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Raymond Watson,2025-05-16,2025-06-16
R 16 990 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Robert Chen,2025-09-09,
R 3 395 000,Observatory,4 Bedroom House,Normal,PE Woodstock,Allan Santiago,2025-07-22,
R 2 750 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Grant Cooper,2025-05-23,
R 4 700 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Rodney Shaw,2025-05-07,2025-06-16
R 4 500 000,Woodstock,3 Bedroom House,Normal,PE Woodstock,Kenneth Brooks,2025-08-27,
R 2 995 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Preston Murphy,2025-08-04,
R 4 000 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Marcus Rivera,2025-05-13,
R 95 000 000,Bantry Bay,4 Bedroom House,Normal,PE Atlantic Seaboard,Caleb Mitchell,2025-05-31,2025-09-21
R 2 350 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Clifford Flynn,2025-06-11,
R 1 450 000,Claremont,1 Bedroom Apartment,Normal,PE Claremont,Marcus King,2025-04-17,
R 2 450 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Ethan Hill,2025-05-17,
R 25 000 000,Green Point,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Justin Lewis,2025-07-14,
R 15 990 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Joshua Garcia,2025-07-09,
R 2 100 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Sean Parker,2025-05-19,
R 34 500 000,Llandudno,4 Bedroom House,Normal,PE Atlantic Seaboard,Joshua Garcia,2025-09-18,
R 25 000 000,Mouille Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Caleb Mitchell,2025-07-23,
R 6 200 000,Oranjezicht,2 Bedroom Apartment,Normal,PE City Bowl,Randall Beck,2025-06-17,
R 5 875 000,Tamboerskloof,2 Bedroom House,Normal,PE City Bowl,Marcus Torres,2025-05-04,
R 21 000 000,Constantia,7 Bedroom House,Normal,PE Constantia,Ian Campbell,2025-04-12,
R 1 565 000,Bo Kaap,2 Bedroom House,Normal,PE City Bowl,Edgar Hart,2025-07-11,
R 3 995 000,Newlands,2 Bedroom Apartment,Normal,PE Newlands,Ernest Porter,2025-08-30,
R 2 550 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Grant Cooper,2025-04-29,
R 32 000 000,Clifton,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-06-10,
R 1 650 000,Cape Town City Centre,1 Bedroom Apartment,Private,PE City Bowl,Wesley Richardson,2025-08-12,
R 2 995 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Vernon Fuller,2025-09-14,
R 1 995 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Nathan Young,2025-08-27,2025-09-18
R 1 490 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Gilbert Carr,2025-04-21,2025-05-14
R 1 300 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Aaron Walker,2025-09-26,
R 2 850 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Frank Ross,2025-07-17,
R 13 950 000,Clifton,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Chase Cox,2025-06-28,
R 2 100 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Jordan Adams,2025-07-21,
R 3 850 000,Tamboerskloof,2 Bedroom Apartment,Normal,PE City Bowl,Oscar Newman,2025-08-25,2025-09-28
R 2 200 000,Wynberg,4 Bedroom House,Normal,PE Southern Suburbs,Caleb Mitchell,2025-07-31,
R 1 825 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Vernon Fuller,2025-04-20,2025-06-11
R 6 550 000,Newlands,4 Bedroom House,Normal,PE Newlands,Steven Rodriguez,2025-06-17,2025-09-30
R 695 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Jerome Bryant,2025-07-09,2025-08-19
R 19 950 000,Camps Bay,4 Bedroom House,Normal,PE Atlantic Seaboard,Ernest Porter,2025-08-02,
R 2 650 000,Claremont,2 Bedroom Apartment,Normal,PE Claremont,Lester Harper,2025-06-29,2025-07-29
R 1 995 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Rodney Shaw,2025-08-14,
R 3 750 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Henry Simmons,2025-08-17,
R 2 200 000,Sea Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-06-15,
R 72 500 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Julius Delgado,2025-05-09,2025-07-17
R 2 799 000,Observatory,2 Bedroom House,Normal,PE Woodstock,Floyd Gibson,2025-05-07,2025-07-01
R 1 450 000,Vredehoek,1 Bedroom Apartment,Normal,PE City Bowl,Rodney Shaw,2025-08-16,
R 9 750 000,Sea Point,4 Bedroom House,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-06-24,
R 1 700 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Albert Perry,2025-06-28,2025-07-28
R 1 580 000,Rosebank,2 Bedroom Apartment,Normal,PE Southern Suburbs,Marcus King,2025-05-25,
R 5 250 000,Sea Point,2.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Gerald Hayes,2025-05-26,2025-08-14
R 1 695 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Theodore Duncan,2025-07-19,2025-08-23
R 2 150 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Albert Perry,2025-05-15,
R 2 095 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Albert Perry,2025-04-23,2025-08-21
R 5 150 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Sean Parker,2025-08-04,
R 12 499 000,Oranjezicht,3 Bedroom Apartment,Normal,PE City Bowl,Kevin Harris,2025-07-01,
R 2 100 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,James Mitchell,2025-06-07,
R 19 995 000,Constantia,7 Bedroom House,Normal,PE Constantia,Samuel Bennett,2025-07-10,
R 1 449 500,Cape Town City Centre,Apartment,Normal,PE City Bowl,Bradley Gray,2025-07-10,
R 3 695 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Owen Collins,2025-05-03,2025-08-31
R 4 400 000,Gardens,1 Bedroom Apartment,Normal,PE City Bowl,Edgar Hart,2025-05-29,2025-08-09
R 39 950 000,Fresnaye,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Blake Edwards,2025-09-13,
R 2 150 000,Kenilworth,3 Bedroom Townhouse,Normal,PE Southern Suburbs,Derek Allen,2025-04-25,
R 1 495 000,Salt River,3 Bedroom House,Normal,PE Woodstock,Ian Campbell,2025-09-12,
R 35 000 000,Clifton,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Hunter Carter,2025-05-14,
R 14 995 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Michael Anderson,2025-04-13,2025-08-21
R 1 895 000,Gardens,1 Bedroom Apartment,Normal,PE City Bowl,Milton Stone,2025-04-26,
R 2 195 000,Kenilworth,3 Bedroom Apartment,Normal,PE Southern Suburbs,Bernard Mason,2025-04-11,2025-07-09
R 40 000 000,Waterfront,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Claude Chapman,2025-05-01,
R 35 000 000,Fresnaye,5 Bedroom House,Normal,PE Atlantic Seaboard,Carson Stewart,2025-09-10,
R 1 195 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Preston Murphy,2025-04-12,
R 2 795 000,Claremont,2 Bedroom House,Normal,PE Claremont,Harold Fisher,2025-06-12,
R 2 195 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Dale Dixon,2025-05-01,
R 1 350 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Leonard Hughes,2025-09-12,
R 1 395 000,Woodstock,0.5 Bedroom Apartment,Normal,PE Woodstock,Ryan Peterson,2025-05-26,2025-06-13
R 3 350 000,Newlands,2 Bedroom Apartment,Normal,PE Newlands,Brian Clark,2025-07-11,2025-08-24
R 2 750 000,Tamboerskloof,2 Bedroom Apartment,Normal,PE City Bowl,Bernard Mason,2025-05-15,
R 22 995 000,Fresnaye,4 Bedroom House,Normal,PE Atlantic Seaboard,Carson Stewart,2025-07-04,
R 1 595 000,Wynberg,3 Bedroom House,Normal,PE Southern Suburbs,Marcus Torres,2025-04-13,2025-05-29
R 2 655 000,Bo Kaap,1 Bedroom Apartment,Normal,PE City Bowl,Julius Delgado,2025-08-22,
R 2 950 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Travis Morgan,2025-05-23,
R 3 199 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Bradley Gray,2025-08-02,2025-09-05
R 11 950 000,Constantia,4 Bedroom House,Normal,PE Constantia,Kevin Harris,2025-04-11,
R 1 195 000,Claremont,1 Bedroom Apartment,Normal,PE Claremont,Roy Powell,2025-04-25,2025-06-06
R 11 500 000,Bakoven,4 Bedroom House,Normal,PE Atlantic Seaboard,Garrett Howard,2025-05-30,
R 7 425 000,Newlands,2 Bedroom Apartment,Normal,PE Newlands,Wesley Richardson,2025-09-23,
R 1 600 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Randall Beck,2025-06-24,2025-09-12
R 47 995 000,Constantia,4 Bedroom House,Normal,PE Constantia,Spencer Reed,2025-08-22,
R 1 720 000,Cape Town City Centre,Apartment,Normal,PE City Bowl,Ryan Peterson,2025-09-03,
R 1 050 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Colin Ramirez,2025-09-25,
R 1 755 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Douglas Butler,2025-06-24,2025-08-14
R 42 500 000,Clifton,5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Martin Hayes,2025-05-04,2025-07-16
R 46 995 000,Constantia,4 Bedroom House,Normal,PE Constantia,Jerome Bryant,2025-06-22,
R 1 795 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Christopher Lee,2025-06-16,
R 1 800 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Edwin Sanders,2025-08-12,2025-09-18
R 2 850 000,Newlands,1 Bedroom Apartment,Private,PE Newlands,Justin Lewis,2025-08-26,
R 3 295 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Henry Simmons,2025-04-26,2025-06-19
R 2 695 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Gregory Diaz,2025-09-14,
R 3 650 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Bernard Mason,2025-09-24,
R 7 450 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Gilbert Carr,2025-07-30,2025-09-18
R 10 350 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Douglas Butler,2025-06-03,
R 11 500 000,Constantia,4 Bedroom House,Normal,PE Constantia,Louis Henderson,2025-07-25,
R 1 325 000,Observatory,0.5 Bedroom Apartment,Normal,PE Woodstock,Arthur Jenkins,2025-08-04,2025-10-02
R 2 650 000,Bo Kaap,1 Bedroom Apartment,Normal,PE City Bowl,Derek Allen,2025-05-12,
R 3 500 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Walter Foster,2025-05-26,
R 3 450 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Samuel Bennett,2025-06-21,
R 4 950 000,Sea Point,2 Bedroom Apartment,Private,PE Atlantic Seaboard,Ryan Peterson,2025-05-22,
R 5 895 000,Foreshore,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Jacob Taylor,2025-08-09,
R 9 250 000,Claremont Upper,3 Bedroom Townhouse,Normal,PE Claremont,Marcus Torres,2025-05-17,2025-09-04
R 4 350 000,Rondebosch East,5 Bedroom House,Normal,PE Rondebosch,Marcus King,2025-06-26,
R 2 070 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Gordon Kennedy,2025-04-18,
R 1 950 000,Mowbray,3 Bedroom House,Normal,PE Southern Suburbs,Floyd Gibson,2025-09-13,
R 4 750 000,Bo Kaap,6 Bedroom House,Normal,PE City Bowl,Marcus King,2025-09-02,
R 115 000 000,Clifton,4 Bedroom House,Normal,PE Atlantic Seaboard,Spencer Reed,2025-04-24,
R 12 950 000,Claremont Upper,5 Bedroom House,Normal,PE Claremont,Austin Baker,2025-04-11,
R 24 950 000,Bantry Bay,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Andrew Wilson,2025-09-11,
R 3 995 000,Claremont Upper,4 Bedroom House,Normal,PE Claremont,Nicholas White,2025-09-23,
R 24 995 000,Sea Point,13 Bedroom House,Normal,PE Atlantic Seaboard,Carl Coleman,2025-06-13,
R 2 255 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Kevin Harris,2025-07-20,
R 2 595 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Kyle Hall,2025-08-10,
R 1 650 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Marcus King,2025-05-24,2025-06-26
R 1 450 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Leo Russell,2025-05-19,2025-07-02
R 7 499 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Howard Griffin,2025-08-02,
R 1 950 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Oscar Newman,2025-06-10,
R 1 350 000,Salt River,Apartment,Normal,PE Woodstock,Daniel Martinez,2025-05-25,
R 9 950 000,Newlands,4 Bedroom House,Normal,PE Newlands,Tyler Moore,2025-08-23,
R 6 695 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Philip Washington,2025-04-29,2025-07-05
R 2 499 000,Rondebosch East,4 Bedroom House,Normal,PE Rondebosch,Theodore Duncan,2025-09-21,
R 2 950 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Daniel Martinez,2025-08-13,
R 1 250 000,Rosebank,2 Bedroom Apartment,Normal,PE Southern Suburbs,Matthew Davis,2025-04-13,2025-05-31
R 1 900 000,Gardens,1 Bedroom Apartment,Private,PE City Bowl,Clifford Flynn,2025-07-05,
R 1 350 000,Wynberg,2 Bedroom House,Normal,PE Southern Suburbs,Brett Cook,2025-08-31,2025-09-24
R 7 450 000,Mowbray,14 Bedroom House,Normal,PE Southern Suburbs,Arthur Jenkins,2025-08-19,
R 2 175 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Milton Stone,2025-07-26,
R 9 995 000,Waterfront,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Marcus Torres,2025-05-17,
R 1 350 000,Gardens,0.5 Bedroom Apartment,Normal,PE City Bowl,Gregory Diaz,2025-06-23,
R 1 800 000,Woodstock,3 Bedroom Apartment,Normal,PE Woodstock,Peter Ross,2025-06-15,2025-08-08
R 1 325 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Walter Foster,2025-08-13,
R 22 500 000,Constantia,7 Bedroom House,Normal,PE Constantia,Edwin Sanders,2025-08-21,
R 1 650 000,Kenilworth,3 Bedroom Apartment,Normal,PE Southern Suburbs,Harold Fisher,2025-05-26,2025-06-10
R 3 200 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Lester Harper,2025-05-26,
R 420 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Ian Campbell,2025-06-19,
R 13 750 000,Constantia,4 Bedroom House,Normal,PE Constantia,Ernest Porter,2025-07-06,
R 6 995 000,Claremont Upper,3 Bedroom Townhouse,Normal,PE Claremont,Eric Johnson,2025-09-24,
R 1 395 000,Rondebosch,1 Bedroom Apartment,Normal,PE Rondebosch,Marcus Torres,2025-04-27,
R 1 200 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Maurice West,2025-06-06,
R 1 450 000,Kenilworth,2 Bedroom Townhouse,Normal,PE Southern Suburbs,Craig Hunt,2025-08-06,2025-09-07
R 1 350 000,Rondebosch Village,0.5 Bedroom Apartment,Normal,PE Rondebosch,Kevin Harris,2025-08-31,
R 1 800 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Tyler Moore,2025-04-19,
R 1 215 000,Observatory,0.5 Bedroom Apartment,Normal,PE Woodstock,Gabriel Green,2025-07-10,2025-08-08
R 2 395 000,Foreshore,Apartment,Normal,PE Atlantic Seaboard,Nathan Young,2025-06-11,
R 4 995 000,Bergvliet,5 Bedroom House,Normal,PE Southern Suburbs,Ernest Porter,2025-09-29,
R 1 295 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Claude Chapman,2025-09-26,
R 2 950 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Dustin Peterson,2025-09-28,
R 5 225 000,Claremont Upper,3 Bedroom House,Normal,PE Claremont,Trevor Morris,2025-08-25,
R 5 950 000,Sea Point,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-07-05,
R 6 795 000,Foreshore,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Michael Anderson,2025-05-14,
R 1 995 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Evan Turner,2025-04-23,
R 27 594 250,Waterfront,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Owen Collins,2025-08-26,
R 2 995 000,Woodstock,3 Bedroom House,Normal,PE Woodstock,Sean Parker,2025-08-16,
R 9 350 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Victor Webb,2025-07-12,
R 1 850 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Wesley Richardson,2025-08-10,
R 1 495 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Gregory Diaz,2025-09-15,
R 1 499 999,Gardens,Apartment,Normal,PE City Bowl,Claude Chapman,2025-08-06,2025-09-12
R 2 895 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ian Campbell,2025-09-11,
R 4 995 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Jacob Taylor,2025-09-06,
R 2 850 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Marvin Cortez,2025-07-27,
R 65 000 000,Constantia,7 Bedroom House,Normal,PE Constantia,Randall Beck,2025-06-10,
R 1 179 999,Cape Town City Centre,Apartment,Normal,PE City Bowl,David Thompson,2025-04-17,
R 2 850 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Peter Ross,2025-08-21,
R 5 900 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Howard Griffin,2025-05-20,
R 2 100 000,Cape Town City Centre,Apartment,Normal,PE City Bowl,Derek Allen,2025-04-12,
R 6 500 000,Waterfront,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Brandon Miller,2025-04-13,
R 5 900 000,Foreshore,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Walter Foster,2025-06-20,
R 9 000 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Jordan Adams,2025-08-29,
R 4 295 000,Vredehoek,2 Bedroom House,Normal,PE City Bowl,Nicholas White,2025-07-15,2025-08-25
R 38 000 000,Bishopscourt,6 Bedroom House,Normal,PE Bishopscourt,Floyd Gibson,2025-06-21,
R 1 045 000,Salt River,0.5 Bedroom Apartment,Normal,PE Woodstock,Blake Edwards,2025-09-03,
R 1 395 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Claude Chapman,2025-05-28,
R 1 200 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Gerald Hayes,2025-06-17,2025-09-05
R 3 395 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Wesley Richardson,2025-08-21,
R 49 500 000,Camps Bay,7 Bedroom House,Normal,PE Atlantic Seaboard,Ernest Porter,2025-06-25,
R 75 000 000,Fresnaye,9 Bedroom House,Normal,PE Atlantic Seaboard,Blake Edwards,2025-04-22,2025-06-30
R 2 195 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Cameron Nelson,2025-07-27,
R 1 895 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Isaac Scott,2025-08-23,2025-09-14
R 2 800 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Julius Delgado,2025-09-01,
R 1 650 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Leroy Wade,2025-06-11,
R 2 700 000,Mouille Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Brandon Miller,2025-04-24,
R 2 195 000,Gardens,1 Bedroom Apartment,Normal,PE City Bowl,Brandon Miller,2025-07-16,
R 6 995 000,Oranjezicht,3 Bedroom House,Normal,PE City Bowl,Eric Johnson,2025-07-22,2025-09-09
R 8 750 000,Camps Bay,3 Bedroom Townhouse,Normal,PE Atlantic Seaboard,Austin Baker,2025-09-17,
R 9 950 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Curtis Stevens,2025-04-22,
R 7 595 000,Claremont Upper,6 Bedroom House,Normal,PE Claremont,Ernest Porter,2025-09-14,
R 5 300 000,Bo Kaap,3 Bedroom Apartment,Normal,PE City Bowl,Julius Delgado,2025-06-05,2025-09-02
R 3 950 000,University Estate,2 Bedroom House,Normal,PE Woodstock,Ian Campbell,2025-04-16,2025-06-12
R 1 995 000,Bo Kaap,2 Bedroom Apartment,Normal,PE City Bowl,Cole Rogers,2025-05-09,2025-06-10
R 1 290 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Lester Harper,2025-05-09,
R 3 950 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ethan Hill,2025-09-19,
R 8 995 000,Tokai,5 Bedroom House,Normal,PE Southern Suburbs,Colin Ramirez,2025-04-14,
R 6 500 000,Claremont Upper,3 Bedroom Apartment,Normal,PE Claremont,Randall Beck,2025-06-09,2025-10-03
R 3 695 000,Vredehoek,3 Bedroom House,Normal,PE City Bowl,Peter Ross,2025-04-18,
R 1 295 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Colin Ramirez,2025-07-22,2025-10-07
R 1 840 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Theodore Duncan,2025-08-22,
R 10 950 000,Clifton,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Claude Chapman,2025-07-24,
R 4 950 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Garrett Howard,2025-09-27,
R 44 000 000,Llandudno,5 Bedroom House,Normal,PE Atlantic Seaboard,Nicholas White,2025-05-09,
R 22 000 000,Cape Town City Centre,9 Bedroom House,Normal,PE City Bowl,Chase Cox,2025-07-16,
R 1 300 000,Cape Town City Centre,Apartment,Normal,PE City Bowl,Claude Chapman,2025-04-23,
R 1 795 000,Wynberg,3 Bedroom Townhouse,Normal,PE Southern Suburbs,Vernon Fuller,2025-09-27,
R 3 250 000,Newlands,2 Bedroom Apartment,Normal,PE Newlands,Melvin Lowe,2025-05-24,2025-07-11
R 3 300 000,Three Anchor Bay,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Andrew Wilson,2025-08-17,2025-09-18
R 59 000 000,Constantia,8 Bedroom House,Normal,PE Constantia,Isaac Scott,2025-07-02,
R 24 000 000,Fresnaye,3 Bedroom House,Normal,PE Atlantic Seaboard,Derek Allen,2025-09-23,
R 950 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Craig Hunt,2025-07-03,
R 5 995 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Lawrence Alexander,2025-05-27,
R 1 950 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,William Foster,2025-06-22,2025-08-17
R 2 219 000,Bo Kaap,0.5 Bedroom Apartment,Normal,PE City Bowl,Kenneth Brooks,2025-06-03,
R 7 500 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Harold Fisher,2025-08-29,
R 4 365 000,Bo Kaap,2 Bedroom Apartment,Normal,PE City Bowl,Travis Morgan,2025-07-03,
R 1 490 000,Vredehoek,1 Bedroom Apartment,Normal,PE City Bowl,Michael Anderson,2025-07-11,
R 27 500 000,Oranjezicht,7 Bedroom House,Normal,PE City Bowl,Trevor Morris,2025-04-24,
R 8 750 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Tyler Moore,2025-09-09,
R 2 800 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Marvin Cortez,2025-04-29,
R 3 400 000,Mowbray,3 Bedroom House,Normal,PE Southern Suburbs,Isaac Scott,2025-08-28,
R 4 350 000,Walmer Estate,5 Bedroom House,Normal,PE Woodstock,Milton Stone,2025-08-11,2025-10-08
R 1 595 000,Salt River,1 Bedroom Apartment,Normal,PE Woodstock,Dennis Wood,2025-08-11,
R 1 230 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Eric Johnson,2025-07-27,
R 2 600 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Colin Ramirez,2025-05-27,
R 2 295 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Evan Turner,2025-05-14,
R 5 150 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Derek Allen,2025-06-25,
R 2 295 000,Claremont Upper,0.5 Bedroom Apartment,Normal,PE Claremont,Brett Cook,2025-05-30,2025-08-19
R 14 500 000,Llandudno,3 Bedroom House,Normal,PE Atlantic Seaboard,Kenneth Brooks,2025-09-15,
R 5 200 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Marcus Rivera,2025-05-21,2025-08-18
R 2 495 000,Green Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Norman Knight,2025-04-23,2025-06-13
R 3 750 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Philip Washington,2025-06-28,
R 6 500 000,Wynberg,2 Bedroom House,Normal,PE Southern Suburbs,Albert Perry,2025-08-28,
R 3 392 500,Observatory,4 Bedroom Townhouse,Normal,PE Woodstock,Jacob Taylor,2025-07-21,
R 1 950 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Travis Morgan,2025-06-18,2025-09-10
R 2 995 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Melvin Lowe,2025-04-25,
R 3 995 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Martin Hayes,2025-06-09,
R 11 750 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Dennis Wood,2025-08-15,
R 9 890 000,Constantia,4 Bedroom House,Normal,PE Constantia,Ryan Peterson,2025-06-18,
